Date,Open,High,Low,Close,Adj Close,Volume
2018-06-15,1159.920044,1163.910034,1153.689941,1159.270020,1159.270020,2221900
2018-06-18,1152.689941,1184.130005,1151.000000,1183.579956,1183.579956,1651900
2018-06-19,1170.109985,1182.810059,1161.609985,1178.689941,1178.689941,2364100
2018-06-20,1183.300049,1201.489990,1182.030029,1184.069946,1184.069946,2584300
2018-06-21,1185.510010,1190.329956,1163.479980,1169.439941,1169.439941,2248300
2018-06-22,1171.489990,1175.000000,1159.650024,1169.290039,1169.290039,1711000
2018-06-25,1155.000000,1155.989990,1119.900024,1139.280029,1139.280029,2884100
2018-06-26,1144.140015,1146.869995,1129.000000,1132.619995,1132.619995,1734400
2018-06-27,1136.000000,1146.209961,1116.699951,1116.939941,1116.939941,1726900
2018-06-28,1112.390015,1134.000000,1106.069946,1126.780029,1126.780029,1486300
2018-06-29,1132.310059,1141.359985,1127.020020,1129.189941,1129.189941,1578100
2018-07-02,1115.349976,1142.989990,1106.599976,1142.109985,1142.109985,1160800
2018-07-03,1149.420044,1149.910034,1114.430054,1116.280029,1116.280029,822400
2018-07-05,1124.599976,1144.140015,1123.119995,1141.290039,1141.290039,1429700
2018-07-06,1141.770020,1156.199951,1137.239990,1155.079956,1155.079956,1091000
2018-07-09,1160.000000,1167.930054,1157.229980,1167.280029,1167.280029,1079200
2018-07-10,1169.989990,1173.500000,1162.560059,1167.140015,1167.140015,1066700
2018-07-11,1155.619995,1180.439941,1155.369995,1171.459961,1171.459961,1662600
2018-07-12,1174.859985,1201.989990,1173.099976,1201.260010,1201.260010,2207400
2018-07-13,1202.800049,1210.439941,1195.290039,1204.420044,1204.420044,1630600
